Gene	Name
Traes_1BL_4685E95E0	SLAC1
Traes_3B_F6D9A9AEE	SLAC1
Traes_1BL_352EF1054	SLAC1
Traes_1AL_68F9D9453	SLAC1
Traes_3AS_3532B7022	SLAC1
Traes_3B_7C1AD33E0	SLAC1
Traes_1AL_D61ACF8F1	SLAC1
Traes_1AL_0D08CD9B2	SLAC1
Traes_1DL_C42896E8A	SLAC1
Traes_1DL_972519C23	SLAC1
Traes_1BL_22ACD7F85	SLAC1
Traes_1AL_FACE446EE	SLAC1
Traes_1DL_DBAB8928C	SLAC1
Traes_1AL_07B3AC9EA	SLAC1
Traes_1BL_EFFEA6E06	SLAC1
Traes_1AL_A7FBB0439	SLAC1
Traes_1DL_912E742DC	SLAC1
Traes_3B_D68CA677B	SLAC1
Traes_3AS_319E05F4F	SLAC1
Traes_1BS_07AF36A3A	SLAC1
Traes_1AS_2FAA0ACCE	SLAC1
Traes_1DS_E08A804F7	SLAC1
Traes_1DS_E08A804F71	SLAC1
Traes_2DL_05C6D048C	SLAC1
Traes_2AL_77C7CBB4E	SLAC1
Traes_2BL_088F3C674	SLAC1
Traes_3B_F39A409C4	SLAC1
Traes_3AS_8F6DD6059	SLAC1
